
=========================================
 Sheet: 영업관리시스템 요청
=========================================
R02:  | ※ 차세대 영업관리 시스템 |  | 
R04:  | 매장정보 | ∙ 매장 식별 기준을 사업자번호 → 매장코드 중심으로 변경 (입점 매장 사업자 변경 시 신규 코드 생성이 아닌 변경 이력 관리) | 
R05:  |  | ∙ 정산 관련 세부 정보 연동을 통해 유통망별 월별 미수 관리 기능 강화 (공급/판매 미수 화면 개선) | 
R06:  | 매출 | ∙ 직영점 - 일별·결제수단별 판매내역 + 입금/수수료 연동 → 매출 확정 자동화 및 미수관리 수기 입력 최소화 (벤사/머니온) | 
R07:  |  | ∙ 유통망별 EDI 매출 연동 및 검증 시스템 도입 | 
R08:  | 재고 | ∙ 가상창고 최소화(재고 이동 히스토리 관리 화면 개선.  조정창고(X), OA창고(이동 중 재고) 처리 방식 개선 → 불필요한 가상창고 제거) | 
R09:  | 비용 | ∙ 매장비용-영업관리시스템에서 일괄 등록 (AIS 일부 등록 제한) | 
R10:  | 시스템 현황 화면 | ∙ 브랜드/기간/매장(유통망) 기준 매출, 재고(시즌·다년차), 수수료 등 조건별 조회 가능 | 
R11:  |  | ∙ 장기 미수채권 및 주별 미수 현황 조회 등의 기능 제공 | 
R14:  | 현재 진행 중 개선 내용 |  | 

=========================================
 Sheet: 수기 및 전산개발요청의건
=========================================
R02:  | 구분 | 화면 | AS-IS | TO-BE | 비고
R03:  | 매출 | 매출 차액 정리 화면 | 판매등록에서 원단위 차액 등 가품번으로 정리 | 가품번으로 매출 차액 정리 가능토록 요청(백화점 정산-마진별판매 활용) | 
R04:  |  | 직영매장매출정산 | 엑셀파일로 정리 후 AIS에서 엑셀파일 업로드 | F-ONE ->AIS 전표 생성 | 4월말 진행예정
R05:  |  | 세금계산서 매출 연동 | 백화점 매출 등 엑셀 파일로 업로드 | EDI 연동으로 반영 요청 | 
R06:  | 중간관리자 | 중간관리자 정보/ 수수료율 등록 | 엑셀파일로만 업로드 시즌별 수수료율 달라 수수료 차액은 F-ONE 중간관리자 공제 등록 화면에 기재 | 중간관리자 매장별 수수료율(상세) 등록시 줄 삭제 불가(히스토리 관리 필요로 당월, 등록한 사람만 삭제 가능토록 요청) 시즌별 수수료율 반영 가능토록 요청 | 
R07:  |  | 중간관리자 수수료 발행 | 중간관리자 수수료 지급계 다운 받아서 트러스빌 양식에 셋팅 하여 발행 | 중간관리자 수수료 지급계에서 수수료금액  트러스빌로 역발행 연동(트러스빌에서 업로드 X) | 
R08:  |  | 중간관리자 공제건 발행 | 판부자재 등 엑셀 다운 받아 중간관리자 공제건 세금계산서 발행 셋팅 | 판부자재 및 중간관리자 분담율 셋팅 후 공제 세금계산서 발행 가능토록 요청(기간 중간관리자 수수료정보와 연동) 공제금액 중간관리자 수수료 지급계에 반영 요청 | 
R09:  | 기타 | 할인/마진율 | 마진율 건건이 기재 하여 저장 다른 매장 조회 후 기간과 매장만 일괄 반영 가능/ 같은 매장 수수료 변경 시 등록 하기 번거로움 | 마진 한번에 등록 불가(할인율에 따른 마진 등록 가능토록 요청) 할인/마진율 복사 가능토록 요청(현재는 다른매장일 경우만 입력사항일괄적용으로 가능) | 
R10:  |  | 오픈/폐점 관리 화면 | 엑셀파일로 관리 | 오픈일/ 폐점일 관리 화면(현재 엑셀 파일로 관리) | 
R11:  |  | 매장정보 | 매장정보에 종사업자번호 AIS에서 조회 후 F-ONE에 수기로 기재 | AIS 종사업장 맵핑 가능 | 내용 공유 완료
R12:  |  | 직영점 등 전표 작성 | AIS 전표 작성 | 패션ERP -> AIS 전송 | 
R13:  |  | 비용결제일 관리 화면 | 엑셀파일로 관리(휴먼에러 발생 가능성 있음) | 비용결제일 등록 후 매장코드& 사업자번호 맵핑 미처리건 확인 가능토록 요청 | 
R14:  | 미수 | 가두직영점 입금 | 머니온 및 페이 입금 등 엑셀로 관리 | 매입사별 머니온 및 페이 입금 예정일과 매입사 계좌번호 맵핑하여 입금 차액 체크 | 
R15:  |  | 직영현금미수관리 | 엑셀로 다운 받아 100만원 이상 차이 매장 점장한테 연락 | 현금 미수 100만원 이상일 경우 시스템 로그인 시 계좌번호와 미수금 알림창 생성 | 
R16:  |  | 입금 | 폐점정산 시 월 진행 중 입금 AIS-> F-ONE으로 전송 이후 가상계좌입금건 F-ONE 미수에 반영안됨 | AIS에 입금 등록 후 F-ONE으로 전송, 중간 입금 반영 시에도 가상계좌로 입금 된 내역 매장월정산상세현황 미수에 반영 요청 | 
R17:  |  | 상품권관리 | 마감된 월에서 상품권 입금 빠져 미수차이 발생 | 상품권 매출 반품 된 월로 상품권 입금 마이너스 요청 | 내용 공유 완료
R18:  |  | 대금결제일 조회 화면 | 매출과 매장비용현황 다운로드 하여 엑셀파일로 관리 | 매장정보-> 대금결제일 기재 후 활용 | 
R19:  |  | 장기미수채권 | 판매현황과 비용현황 다운 받아 매월 미수금 확인 후 입금 체크 | 매장정보 대금결제일 기준으로 입금 여부 체크하여 장기미수금액 확인 | 
